年份,地点,情景,制冷剂,Unit_LCTR_pK
2033,石家庄,ssp585,R410A,1.678066670900265
2033,石家庄,ssp585,R32,1.150623638952502
2033,石家庄,ssp585,R290,1.225241208995681
2033,太原,ssp126,R410A,1.183104433451995
2033,太原,ssp126,R32,0.6831582143357047
2033,太原,ssp126,R290,0.6498701675613251
2033,太原,ssp245,R410A,1.313438346616748
2033,太原,ssp245,R32,0.806640835074853
2033,太原,ssp245,R290,0.7984863015075412
2033,太原,ssp585,R410A,1.250146956416344
2033,太原,ssp585,R32,0.7467373834137289
2033,太原,ssp585,R290,0.7268716365629855
2033,呼和浩特,ssp126,R410A,0.9424098006467063
2033,呼和浩特,ssp126,R32,0.4545943815160894
2033,呼和浩特,ssp126,R290,0.390939675611727
2033,呼和浩特,ssp245,R410A,1.017402422484791
2033,呼和浩特,ssp245,R32,0.5256766792784737
2033,呼和浩特,ssp245,R290,0.4652252429775971
2033,呼和浩特,ssp585,R410A,1.043579323528975
2033,呼和浩特,ssp585,R32,0.5503850200348795
2033,呼和浩特,ssp585,R290,0.4884846767349746
2033,济南,ssp126,R410A,1.396131951921565
2033,济南,ssp126,R32,0.8843406601413594
2033,济南,ssp126,R290,0.8919443029767389
2033,济南,ssp245,R410A,1.445781056148049
2033,济南,ssp245,R32,0.9308192489016379
2033,济南,ssp245,R290,0.957865225826879
2033,济南,ssp585,R410A,1.312899124092712
2033,济南,ssp585,R32,0.8049181294001726
2033,济南,ssp585,R290,0.8159498063565745
2033,上海,ssp126,R410A,0.790101379335026
2033,上海,ssp126,R32,0.3089370409397671
2033,上海,ssp126,R290,0.2273628286818556
2033,上海,ssp245,R410A,0.8180300642779166
2033,上海,ssp245,R32,0.3350171402580491
2033,上海,ssp245,R290,0.2516088544533693
2033,上海,ssp585,R410A,0.8609764018974653
2033,上海,ssp585,R32,0.3753168076861857
2033,上海,ssp585,R290,0.2845227355320696
2033,南京,ssp126,R410A,1.366777832800709
2033,南京,ssp126,R32,0.8561884093589562
2033,南京,ssp126,R290,0.8365629580964926
2033,南京,ssp245,R410A,1.376678371085001
2033,南京,ssp245,R32,0.8655288725747389
2033,南京,ssp245,R290,0.8298656662404217
2033,南京,ssp585,R410A,1.36779152205878
2033,南京,ssp585,R32,0.8566072410022708
2033,南京,ssp585,R290,0.8180729998265552
2033,杭州,ssp126,R410A,1.08110738525718
2033,杭州,ssp126,R32,0.5858470424216689
2033,杭州,ssp126,R290,0.5331474086090139
2033,杭州,ssp245,R410A,1.095722304956563
2033,杭州,ssp245,R32,0.5994444514502714
2033,杭州,ssp245,R290,0.5344916508007835
2033,杭州,ssp585,R410A,1.093103554516811
